#Time(s) flow thruput(Mb/s)
2s 0 2.00896
2s 1 2.00896
2s 2 2.00896
2s 3 1.9856
2s 4 2.00896
2s 5 1.9856
2s 6 1.9856
2s 7 2.00896
2s 8 2.00896
2s 9 2.00896
2s 10 2.00896
2s 11 2.00896
2s 12 2.00896
2s 13 2.00896
2s 14 1.9856
2s 15 1.9856
2s 16 1.9856
2s 17 2.00896
2s 18 1.9856
2s 19 2.00896
2s 20 2.00896
2s 21 1.9856
2s 22 1.9856
2s 23 2.00896
2s 24 2.00896
2s 25 1.9856
2s 26 1.9856
2s 27 2.00896
2s 28 2.00896
2s 29 1.9856
2s 30 2.00896
2s 31 1.9856
2s 32 2.00896
2s 33 2.00896
2s 34 2.00896
2s 35 1.9856
2s 36 2.00896
2s 37 2.00896
2s 38 2.00896
2s 39 1.9856
2s 40 2.00896
2s 41 1.9856
2s 42 2.00896
2s 43 1.9856
2s 44 2.00896
2s 45 2.00896
2s 46 2.00896
2s 47 1.9856
2s 48 2.00896
2s 49 2.00896
