#Time(s) flow thruput(Mb/s)
2s 0 2.14912
2s 1 2.14912
2s 2 2.14912
2s 3 189.169
2s 4 2.14912
2s 5 187.674
2s 6 179.662
2s 7 2.14912
2s 8 198.233
2s 9 197.789
2s 10 2.14912
2s 11 2.14912
2s 12 2.14912
2s 13 207.834
2s 14 2.17248
2s 15 189.123
2s 16 185.525
2s 17 192.837
2s 18 205.965
2s 19 2.14912
2s 20 2.14912
2s 21 2.14912
2s 22 189.076
2s 23 2.14912
2s 24 2.14912
2s 25 2.14912
2s 26 2.14912
2s 27 2.17248
2s 28 2.14912
2s 29 186.646
2s 30 196.948
2s 31 198.093
2s 32 2.14912
2s 33 198.233
2s 34 199.845
2s 35 2.14912
2s 36 198.84
2s 37 2.14912
2s 38 186.156
2s 39 188.212
2s 40 2.14912
2s 41 2.17248
2s 42 2.17248
2s 43 185.128
2s 44 189.029
2s 45 181.998
2s 46 2.14912
2s 47 195.22
2s 48 2.17248
2s 49 206.502
2s 50 2.14912
2s 51 2.14912
2s 52 2.14912
2s 53 194.402
2s 54 194.799
2s 55 192.837
2s 56 192.159
2s 57 2.14912
2s 58 187.768
2s 59 195.593
2s 60 196.972
2s 61 2.14912
2s 62 187.978
2s 63 2.14912
2s 64 2.14912
2s 65 2.14912
2s 66 193.047
2s 67 185.992
2s 68 2.14912
2s 69 192.066
2s 70 2.14912
2s 71 183.586
2s 72 2.14912
2s 73 196.434
2s 74 2.14912
2s 75 2.14912
2s 76 2.14912
2s 77 2.14912
2s 78 199.635
2s 79 197.228
2s 80 181.881
2s 81 194.846
2s 82 197.345
2s 83 193.795
2s 84 183.61
2s 85 2.14912
2s 86 2.17248
2s 87 202.321
2s 88 14.6
2s 89 196.598
2s 90 2.14912
2s 91 208.161
2s 92 2.14912
2s 93 2.14912
2s 94 2.17248
2s 95 2.14912
2s 96 2.14912
2s 97 2.14912
2s 98 2.17248
2s 99 198.303
