#Time(s) flow thruput(Mb/s)
2s 0 0
2s 1 6.93792
2s 2 0
2s 3 0
2s 4 4.9056
2s 5 0
2s 6 0
2s 7 6.82112
2s 8 0
2s 9 0
2s 10 5.18592
2s 11 6.96128
2s 12 6.47072
2s 13 0
2s 14 0
2s 15 4.25152
2s 16 7.91904
2s 17 0
2s 18 7.63872
2s 19 0
2s 20 0
2s 21 8.80672
2s 22 0
2s 23 0
2s 24 0
2s 25 5.32608
2s 26 6.14368
2s 27 0
2s 28 4.13472
2s 29 5.7232
2s 30 0
2s 31 3.99456
2s 32 0
2s 33 0
2s 34 2.75648
2s 35 3.64416
2s 36 0
2s 37 0
2s 38 0
2s 39 3.6208
2s 40 0
2s 41 0
2s 42 4.99904
2s 43 0
2s 44 6.47072
2s 45 5.53632
2s 46 0
2s 47 0
2s 48 0
2s 49 0
